description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Mondongo Cau-Cau x kg,VIVANDA,S/ 14.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,14.2
Mondongo Italiano x kg,VIVANDA,S/ 14.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,14.2
Lomo Fino de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 81.80,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,81.8
Anticucho de Res ZEDINA Bolsa 500g,VIVANDA,S/ 15.60,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,500.0,g,15.6
Picaña de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 71.30,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,71.3
Hamburguesa OTTO KUNZ Premium de Res Bolsa 8un,OTTO KUNZ,S/ 28.00,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,8.0,un,28.0
Osobuco de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 27.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,27.2
Hamburguesa de Res OREGON Foods Bolsa 8un,OREGON FOODS,S/ 26.90,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,8.0,un,26.9
Entraña Fina de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 60.80,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,60.8
Asado de Pejerrey de Res x kg,EL BUEN CORTE,S/ 48.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,48.2
Hamburguesa OTTO KUNZ Parrillera de Res Bolsa 4un,OTTO KUNZ,S/ 29.00,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,4.0,un,29.0
Bife de Vacío de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 51.30,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,51.3
Menestrón con Carne de Res en Semiconserva 750g,LA FLORENCIA,S/ 12.90,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,750.0,g,12.9
Bife Ancho de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 52.40,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,52.4
Hamburguesa OTTO KUNZ Premium de Res Bolsa 4un,OTTO KUNZ,S/ 15.40,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,4.0,un,15.4
Colita de Cuadril de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 55.50,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,55.5
